# timestamps [seconds],pts
10088.215052,1704
10088.249414,3956
10088.259018,4585
10088.267281,5127
10088.275194,5645
10088.283311,6177
10088.291187,6693
10088.299113,7213
10088.307062,7734
10088.315064,8258
10088.324395,8870
10088.340795,9945
10088.343962,10152
10088.350982,10612
10088.359207,11151
10088.366978,11660
10088.374961,12184
10088.383016,12711
10088.391027,13236
10088.399054,13763
10088.407017,14284
10088.415138,14817
10088.427075,15599
10088.435256,16135
10088.443130,16651
10088.451090,17173
10088.459156,17701
10088.467124,18223
10088.475003,18740
10088.483075,19269
10088.491240,19804
10088.499074,20317
10088.511073,21104
10088.518931,21619
10088.527031,22149
10088.535233,22687
10088.543283,23215
10088.550925,23715
10088.559132,24253
10088.566954,24766
10088.574947,25290
10088.582926,25813
10088.595294,26623
10088.603221,27143
10088.611081,27658
10088.659138,30807
10088.667162,31333
10088.679046,32112
10088.687014,32634
10088.695088,33163
10088.703153,33692
10088.711058,34210
10088.718955,34727
10088.727351,35277
10088.735188,35791
10088.743346,36326
10088.750980,36826
10088.762977,37612
10088.770946,38134
10088.778989,38662
10088.787153,39197
10088.795146,39720
10088.803007,40236
10088.811145,40769
10088.819472,41315
10088.827156,41818
10088.835270,42350
10088.847201,43132
10088.854981,43642
10088.863117,44175
10088.871281,44710
10088.879098,45222
10088.887346,45763
10088.895190,46277
10088.903202,46802
10088.911084,47318
10088.918976,47836
10088.930997,48623
10088.939194,49161
10088.946938,49668
10088.954883,50189
10088.962922,50716
10088.970920,51240
10088.978988,51768
10088.987098,52300
10088.995028,52820
10089.003081,53347
10089.015276,54147
10089.022982,54652
10089.031068,55182
10089.039238,55717
10089.047041,56228
10089.054918,56745
10089.063175,57286
10089.071062,57803
10089.079119,58331
10089.087148,58857
10089.099105,59640
10089.107159,60168
10089.115257,60699
10089.122928,61202
10089.131011,61731
10089.139011,62256
10089.147057,62783
10089.154909,63297
10089.162935,63823
10089.170959,64349
10089.183071,65143
10089.191075,65668
10089.199217,66201
10089.207059,66715
10089.214982,67234
10089.223009,67760
10089.231041,68287
10089.239233,68824
10089.247160,69343
10089.255031,69859
10089.267174,70655
10089.275153,71178
10089.283109,71699
10089.291119,72224
10089.299062,72745
10089.307155,73275
10089.315066,73793
10089.323028,74315
10089.330939,74834
10089.339066,75366
10089.351061,76152
10089.359156,76683
10089.366986,77196
10089.374868,77712
10089.382929,78241
10089.391080,78775
10089.399175,79305
10089.407012,79819
10089.415036,80345
10089.423311,80887
10089.435347,81676
10089.443226,82192
10089.451254,82718
10089.458996,83226
10089.467087,83756
10089.475050,84278
10089.483152,84809
10089.491001,85323
10089.499060,85851
10089.507178,86383
10089.519038,87161
10089.527079,87688
10089.535168,88218
10089.543085,88737
10089.550922,89250
10089.559279,89798
10089.566875,90296
10089.574920,90823
10089.582860,91343
10089.591162,91887
10089.603005,92663
10089.611042,93190
10089.619095,93718
10089.627158,94246
10089.635091,94766
10089.643097,95291
10089.651291,95828
10089.659112,96340
10089.667263,96875
10089.675006,97382
10089.687087,98174
10089.695000,98692
10089.703363,99240
10089.711102,99748
10089.718909,100259
10089.727001,100790
10089.735111,101321
10089.743307,101858
10089.750976,102361
10089.759025,102888
10089.770959,103670
10089.779085,104203
10089.787149,104731
10089.795115,105253
10089.803044,105773
10089.811079,106300
10089.819073,106823
10089.827233,107358
10089.835162,107878
10089.843152,108401
10089.855111,109185
10089.863149,109712
10089.870979,110225
10089.879712,110797
10089.897382,111955
10089.904088,112395
10089.911310,112868
10089.919088,113378
10089.927161,113907
10089.939067,114687
10089.946942,115203
10089.955124,115740
10089.962917,116250
10089.970886,116773
10089.978924,117299
10089.987220,117843
10089.995031,118355
10090.003088,118883
10090.011046,119404
10090.023217,120202
10090.031153,120722
10090.039061,121240
10090.047163,121771
10090.055173,122296
10090.063050,122812
10090.071036,123336
10090.079312,123878
10090.087213,124396
10090.095140,124916
10090.107006,125693
10090.115109,126224
10090.123050,126745
10090.130948,127262
10090.139238,127805
10090.146928,128309
10090.155009,128839
10090.162936,129359
10090.170933,129883
10090.178949,130408
10090.191335,131220
10090.199039,131725
10090.207087,132252
10090.215053,132774
10090.223117,133302
10090.231204,133832
10090.239184,134355
10090.247026,134869
10090.255317,135413
10090.263180,135928
10090.275133,136711
10090.283089,137233
10090.291137,137760
10090.299262,138293
10090.307265,138817
10090.315031,139326
10090.323045,139851
10090.330858,140363
10090.339049,140900
10090.346959,141418
10090.359113,142215
10090.367011,142733
10090.374869,143248
10090.383000,143780
10090.391267,144322
10090.398938,144825
10090.407167,145364
10090.415141,145887
10090.423088,146408
10090.430982,146925
10090.443281,147731
10090.451150,148247
10090.459085,148767
10090.467168,149296
10090.475077,149815
10090.483024,150335
10090.491069,150863
10090.499122,151390
10090.507123,151915
10090.515063,152435
10090.527264,153235
10090.535141,153751
10090.543172,154277
10090.550953,154787
10090.559095,155321
10090.566973,155837
10090.574963,156361
10090.583012,156888
10090.591192,157424
10090.599090,157942
10090.611193,158735
10090.619143,159256
10090.627118,159779
10090.635048,160298
10090.643002,160820
10090.651292,161363
10090.659008,161869
10090.666954,162389
10090.675173,162928
10090.683139,163450
10090.695142,164237
10090.703245,164768
10090.711049,165279
10090.718875,165792
10090.727181,166336
10090.735137,166858
10090.743118,167381
10090.750936,167893
10090.759242,168437
10090.766949,168943
10090.778944,169729
10090.787277,170275
10090.795219,170795
10090.803101,171312
10090.811039,171832
10090.819219,172368
10090.827441,172907
10090.834977,173401
10090.843164,173937
