# timestamps [seconds],pts
322066.439728,197
322066.447719,721
322066.455596,1237
322066.463673,1766
322066.475779,2560
322066.483821,3087
322066.491614,3597
322066.499629,4123
322066.507420,4633
322066.515603,5169
322066.523542,5690
322066.531732,6227
322066.539566,6740
322066.547719,7274
322066.559793,8065
322066.567857,8594
322066.575594,9101
322066.583675,9631
322066.591612,10151
322066.599828,10689
322066.607778,11210
322066.616588,11788
322066.631733,12780
322066.643694,13564
322066.651885,14101
322066.659646,14609
322066.667952,15154
322066.675643,15658
322066.683896,16199
322066.691608,16704
322066.699551,17225
322066.707518,17747
322066.715586,18275
322066.727677,19068
322066.735721,19595
322066.743712,20119
322066.751765,20646
322066.759697,21166
322066.767933,21706
322066.775825,22223
322066.783764,22743
322066.791693,23263
322066.799867,23799
322066.811736,24577
322066.819765,25103
322066.827712,25624
322066.835962,26164
322066.843679,26670
322066.851754,27199
322066.859679,27719
322066.867785,28250
322066.875624,28763
322066.883700,29293
322066.895538,30069
322066.903589,30596
322066.911529,31116
322066.919595,31645
322066.927644,32173
322066.935790,32706
322066.943800,33231
322066.951562,33740
322066.959663,34271
322066.967862,34808
322066.979708,35585
322066.987674,36107
322066.995609,36627
322067.003717,37158
322067.011610,37675
322067.019618,38200
322067.027666,38728
322067.035614,39248
322067.043573,39770
322067.051631,40298
322067.063557,41080
322067.071738,41616
322067.079517,42126
322067.087474,42647
322067.095542,43176
322067.104217,43744
322067.111575,44227
322067.119641,44755
322067.127607,45277
322067.135828,45816
322067.281699,55376
322067.287404,55749
322067.295418,56275
322067.303492,56804
322067.315523,57592
322067.323596,58121
322067.331564,58643
322067.339589,59169
322067.347641,59697
322067.355653,60222
322067.363709,60750
322067.371879,61286
322067.379723,61800
322067.387675,62321
322067.400069,63133
322067.420228,64454
322067.428757,65013
322067.433196,65304
322067.439691,65730
322067.447502,66241
322067.455556,66769
322067.463484,67289
322067.472397,67873
322067.483612,68608
322067.491459,69122
322067.499397,69642
322067.507429,70169
322067.515476,70696
322067.523567,71226
322067.531534,71749
322067.539713,72285
322067.547546,72798
322067.555553,73323
322067.567885,74131
322067.575506,74630
322067.583510,75155
322067.591480,75677
322067.599498,76203
322067.607512,76728
322067.615514,77252
322067.623479,77774
322067.631495,78299
322067.639741,78840
322067.651560,79614
322067.659544,80138
322067.667634,80668
322067.675632,81192
322067.683565,81712
322067.691394,82225
322067.699373,82748
322067.707948,83310
322067.715548,83808
322067.723665,84340
322067.735496,85115
322067.743671,85651
322067.751590,86170
322067.759576,86693
322067.767605,87219
322067.775528,87739
322067.783489,88260
322067.791489,88785
322067.799515,89311
322067.807644,89843
322067.819572,90625
322067.827531,91147
322067.835548,91672
322067.843575,92198
322067.851587,92723
322067.859594,93248
322067.867612,93773
322067.875560,94294
322067.883561,94819
322067.891366,95330
322067.903388,96118
322067.911466,96647
322067.919514,97175
322067.927635,97707
322067.935472,98221
322067.943754,98763
322067.951591,99277
322067.959584,99801
322067.967968,100350
322067.975805,100864
322067.987717,101644
322067.995664,102165
322068.003662,102689
322068.011690,103216
322068.019644,103737
322068.027588,104257
322068.035677,104788
322068.043655,105310
322068.051709,105838
322068.059642,106358
322068.071698,107148
322068.080479,107724
322068.087562,108188
322068.095482,108707
322068.103577,109237
322068.111540,109759
322068.119502,110281
322068.127607,110812
322068.135467,111327
322068.143639,111863
322068.155581,112645
322068.163592,113170
322068.171533,113691
322068.179689,114225
322068.187589,114743
322068.195605,115268
322068.203669,115797
322068.211604,116317
322068.219686,116847
322068.227589,117364
322068.239536,118147
322068.247522,118671
322068.255476,119192
322068.263521,119719
322068.271522,120244
322068.279622,120774
322068.287354,121281
322068.295392,121808
322068.303412,122334
