# timestamps [seconds],pts
322066.436653,0
322066.468834,2108
322066.504690,4458
322066.536613,6550
322066.569032,8675
322066.604670,11010
322066.636578,13102
322066.672668,15467
322066.704721,17567
322066.736608,19657
322066.772728,22024
322066.804665,24117
322066.836864,26227
322066.872594,28569
322066.904655,30670
322066.940655,33029
322067.002446,37079
322067.010955,37636
322067.040517,39574
322067.072567,41674
322067.104603,43774
322067.140555,46130
322067.172576,48228
322067.208434,50578
322067.240419,52674
322067.272455,54774
322067.308652,57146
322067.340712,59247
322067.376413,61587
322067.408408,63683
322067.440423,65782
322067.476499,68146
322067.508562,70247
322067.540647,72350
322067.576452,74696
322067.608470,76795
322067.644535,79158
322067.676648,81263
322067.708596,83356
322067.744417,85704
322067.776446,87803
322067.808430,89899
322067.844519,92264
322067.876660,94370
322067.913016,96753
322067.944481,98815
322067.976483,100912
322068.012725,103287
322068.044606,105377
322068.076618,107475
322068.112561,109830
322068.144435,111919
322068.180574,114287
322068.212581,116385
322068.244526,118478
322068.280492,120835
322068.312615,122941
322068.344637,125039
322068.380668,127401
322068.412651,129497
322068.448422,131841
322068.480524,133945
322068.512712,136054
322068.548784,138418
322068.580658,140507
322068.612699,142607
322068.648500,144953
322068.680621,147058
322068.717036,149444
322068.748652,151516
322068.780802,153623
322068.816511,155963
322068.848581,158065
322068.880540,160160
322068.916684,162528
322068.948629,164622
322068.984616,166980
322069.016581,169075
322069.048514,171168
322069.084719,173541
322069.116664,175634
322069.152590,177988
322069.184503,180080
322069.216569,182181
322069.252643,184545
322069.284669,186644
322069.316783,188749
322069.352506,191090
322069.384552,193190
322069.420944,195575
322069.452630,197652
322069.484746,199756
322069.520504,202100
322069.552547,204200
322069.584529,206296
322069.620763,208670
322069.652624,210758
322069.688616,213117
322069.720561,215210
322069.752595,217310
322069.788723,219677
322069.820653,221770
322069.852601,223864
322069.888621,226224
322069.920539,228316
322069.956708,230686
322069.988780,232788
322070.020841,234889
322070.056547,237229
322070.088717,239338
322070.120519,241422
322070.156806,243800
322070.188681,245889
322070.224566,248240
322070.257144,250375
322070.288579,252435
322070.324639,254799
322070.356635,256896
322070.388705,258997
322070.424491,261342
322070.456485,263439
322070.492746,265816
322070.524590,267902
322070.556716,270008
322070.592587,272359
322070.624601,274457
322070.660484,276808
322070.692797,278926
322070.724865,281027
322070.760599,283369
322070.792587,285466
322070.824515,287558
322070.860531,289918
322070.892544,292016
322070.928544,294376
322070.960475,296468
322070.992587,298573
322071.028675,300938
322071.060639,303032
322071.092599,305127
322071.128499,307480
322071.160560,309581
322071.196637,311945
322071.228839,314055
322071.260529,316132
322071.296745,318506
322071.328593,320593
322071.360453,322681
322071.396680,325055
322071.428795,327160
322071.464651,329509
322071.496599,331603
322071.528547,333697
322071.564719,336067
322071.596719,338164
322071.628640,340256
322071.664701,342620
322071.696630,344712
322071.732844,347085
322071.764680,349172
322071.796732,351272
322071.832564,353621
322071.864653,355723
322071.896665,357821
322071.932564,360174
322071.964657,362277
322072.000597,364633
322072.032435,366719
322072.064837,368843
322072.100635,371189
322072.132576,373282
322072.168451,375633
322072.200423,377728
322072.232479,379829
322072.268675,382201
322072.300569,384291
322072.332562,386388
322072.368551,388746
322072.400496,390840
322072.436657,393210
322072.468679,395308
322072.500718,397408
322072.536544,399756
322072.568576,401855
322072.600542,403950
322072.636961,406337
322072.668705,408417
322072.704887,410788
322072.736597,412866
322072.768530,414959
322072.804661,417327
322072.836905,419440
322072.869043,421546
322072.904704,423883
322072.936550,425970
322072.972677,428338
322073.004688,430436
322073.036596,432527
322073.072399,434873
322073.104819,436998
322073.136479,439073
322073.172668,441444
322073.204631,443539
322073.240577,445895
322073.272518,447988
