# timestamps [seconds],pts
322187.903275,131
322187.911221,652
322187.919054,1165
322187.927231,1701
322187.935388,2236
322187.947268,3014
322187.955437,3550
322187.963274,4063
322188.104103,13292
322188.115342,14029
322188.123434,14559
322188.131424,15083
322188.139448,15609
322188.147229,16119
322188.155276,16646
322188.163210,17166
322188.171291,17696
322188.179520,18235
322188.187314,18746
322188.199236,19527
322188.207435,20064
322188.215184,20572
322188.223282,21103
322188.231447,21638
322188.239403,22159
322188.247173,22669
322188.255295,23201
322188.263413,23733
322188.271545,24266
322188.283190,25029
322188.291184,25553
322188.299208,26079
322188.307591,26628
322188.315376,27138
322188.323503,27671
322188.331306,28182
322188.339880,28744
322188.347420,29238
322188.355437,29764
322188.367258,30538
322188.375714,31093
322188.383420,31598
322188.391352,32117
322188.399478,32650
322188.407369,33167
322188.415457,33697
322188.423398,34217
322188.431415,34743
322188.439422,35268
322188.454244,36239
322188.459822,36605
322188.467497,37108
322188.475518,37633
322188.483236,38139
322188.491163,38658
322188.499207,39186
322188.507825,39750
322188.515250,40237
322188.523215,40759
322188.535055,41535
322188.543174,42067
322188.551202,42593
322188.559313,43125
322188.567148,43638
322188.575292,44172
322188.583208,44691
322188.591192,45214
322188.599211,45739
322188.607402,46276
322188.619196,47049
322188.627228,47575
322188.635228,48100
322188.643430,48637
322188.651155,49144
322188.659174,49669
322188.667187,50194
322188.675325,50728
322188.683138,51240
322188.691021,51756
322188.703069,52546
322188.711204,53079
322188.719088,53596
322188.727307,54134
322188.735155,54648
322188.743343,55185
322188.751105,55694
322188.759222,56226
322188.767238,56751
322188.775513,57293
322188.787201,58059
322188.795191,58583
322188.803267,59112
322188.811284,59638
322188.819131,60152
322188.827376,60692
322188.835262,61209
322188.843398,61742
322188.851266,62258
322188.859240,62780
322188.871341,63573
322188.879317,64096
322188.887202,64613
322188.895136,65133
322188.903141,65657
322188.911290,66191
322188.919331,66718
322188.927141,67230
322188.935266,67763
322188.944079,68340
322188.955252,69073
322188.963198,69593
322188.971362,70128
322188.979254,70646
322188.987367,71177
322188.995193,71690
322189.003168,72213
322189.011339,72748
322189.019164,73261
322189.027327,73796
322189.039466,74592
322189.047214,75099
322189.055137,75619
322189.063114,76141
322189.071194,76671
322189.079287,77201
322189.087136,77716
322189.095063,78235
322189.103069,78760
322189.111293,79299
322189.123156,80076
322189.131199,80603
322189.139228,81129
322189.147357,81662
322189.155246,82179
322189.163193,82700
322189.171281,83230
322189.179236,83751
322189.187267,84278
322189.195182,84796
322189.207419,85598
322189.215416,86122
322189.223214,86633
322189.231163,87154
322189.239267,87685
322189.247317,88213
322189.255166,88727
322189.263147,89250
322189.271228,89780
322189.279375,90314
322189.291081,91081
322189.299067,91604
322189.307290,92143
322189.315415,92676
322189.323161,93183
322189.331269,93715
322189.339279,94240
322189.347281,94764
322189.355225,95285
322189.363175,95806
322189.375464,96611
322189.383258,97122
322189.391258,97646
322189.399289,98173
322189.407373,98702
322189.415411,99229
322189.423353,99750
322189.431186,100263
322189.439250,100791
322189.447304,101319
322189.459379,102111
322189.467381,102635
322189.475289,103153
322189.483270,103676
322189.491088,104189
322189.499103,104714
322189.507091,105237
322189.515460,105786
322189.523227,106295
322189.531200,106817
322189.546825,107841
322189.551369,108139
322189.560823,108759
322189.567282,109182
322189.575525,109722
322189.584497,110310
322189.591323,110757
322189.599282,111279
322189.607310,111805
322189.615600,112348
322189.627234,113111
322189.635231,113635
322189.643427,114172
322189.651297,114688
322189.659320,115214
322189.667242,115733
322189.675352,116264
322189.683448,116795
322189.691055,117293
322189.699072,117819
322189.711323,118622
322189.719424,119153
322189.727159,119659
322189.735208,120187
322189.743570,120735
322189.751410,121249
322189.759257,121763
322189.767222,122285
322189.775321,122816
322189.783410,123346
322189.795149,124115
322189.803234,124645
322189.811485,125186
322189.819313,125699
322189.827245,126219
322189.835200,126740
322189.843223,127266
322189.851327,127797
322189.859449,128329
322189.867203,128837
322189.879270,129628
322189.887326,130156
322189.898126,130864
322189.903329,131205
322189.914761,131954
322189.920163,132308
322189.927163,132767
322189.935072,133285
322189.943269,133822
322189.951762,134379
322189.963246,135131
322189.971319,135660
322189.979431,136192
322189.987287,136707
322189.995361,137236
322190.003233,137752
322190.011423,138289
322190.019246,138801
322190.027340,139332
322190.035182,139846
322190.047388,140646
322190.055258,141161
322190.063193,141681
322190.071255,142210
322190.079423,142745
322190.087289,143261
322190.095101,143773
322190.103119,144298
322190.111088,144820
322190.119276,145357
322190.131163,146136
322190.139205,146663
322190.147370,147198
322190.155335,147720
322190.163176,148234
322190.171198,148760
322190.181988,149467
322190.187187,149807
322190.195134,150328
322190.203111,150851
322190.215380,151655
322190.223251,152171
322190.231131,152687
322190.239313,153223
322190.247414,153754
322190.255353,154275
322190.263267,154793
322190.271291,155319
322190.279565,155861
322190.287240,156364
322190.299197,157148
322190.307141,157669
322190.315438,158212
322190.323436,158736
322190.331225,159247
322190.339228,159771
322190.347329,160302
322190.355216,160819
322190.363249,161346
322190.371354,161877
322190.383496,162673
322190.391227,163179
322190.399258,163705
322190.407375,164237
322190.415525,164772
322190.423403,165288
322190.431255,165802
322190.439293,166329
322190.447495,166867
322190.455240,167374
322190.467147,168155
322190.475496,168702
322190.483385,169219
322190.491176,169729
322190.499171,170253
322190.507192,170779
322190.515540,171326
322190.523222,171829
322190.531251,172356
322190.539197,172876
322190.551365,173674
322190.559339,174196
322190.567133,174707
322190.575369,175247
322190.583369,175771
322190.591561,176308
322190.599378,176820
322190.607494,177352
322190.615520,177878
322190.623421,178396
322190.635377,179180
322190.643323,179700
322190.651459,180233
322190.659310,180748
322190.667122,181260
322190.675423,181804
322190.683351,182324
322190.691253,182841
322190.699158,183359
322190.707373,183898
322190.719095,184666
322190.727401,185210
322190.735070,185713
322190.743266,186250
322190.751494,186789
322190.759269,187299
322190.767440,187834
322190.775322,188351
322190.783548,188890
322190.791221,189393
322190.803226,190180
322190.811238,190705
322190.819507,191246
322190.827277,191756
322190.835197,192275
322190.843240,192802
322190.851567,193348
322190.859428,193863
322190.867158,194369
322190.875596,194922
322190.887318,195690
322190.895107,196201
322190.903087,196724
322190.911200,197256
322190.919319,197788
322190.927293,198310
322190.935120,198823
322190.943245,199356
322190.951409,199891
322190.959258,200405
322190.971254,201191
322190.979260,201716
322190.987435,202252
322190.995258,202764
322191.003236,203287
322191.011263,203813
322191.019544,204356
322191.027387,204870
322191.035383,205394
322191.043197,205906
322191.055314,206700
322191.063405,207230
322191.071302,207748
322191.079255,208269
322191.087339,208799
322191.095289,209320
322191.103150,209835
322191.111126,210358
322191.119319,210895
322191.127265,211415
322191.139217,212199
322191.147136,212718
322191.155522,213267
322191.163149,213767
322191.171197,214294
322191.179395,214832
322191.187389,215356
322191.195349,215877
322191.203196,216392
322191.211246,216919
322191.223433,217718
322191.231434,218242
322191.239410,218765
322191.247129,219271
322191.255569,219824
322191.263238,220326
322191.271258,220852
322191.279257,221376
322191.287354,221907
322191.295228,222423
322191.307119,223202
322191.315217,223733
322191.323546,224279
322191.331135,224776
322191.339106,225298
322191.347228,225831
322191.355608,226380
322191.363430,226892
322191.371245,227405
322191.379322,227934
322191.391554,228736
322191.399361,229247
322191.407184,229760
322191.415524,230306
322191.424495,230894
322191.431327,231342
322191.439398,231871
322191.447263,232386
322191.455150,232903
322191.463385,233443
322191.475380,234229
322191.483236,234744
322191.491157,235263
322191.499118,235785
322191.507185,236313
322191.515467,236856
322191.523346,237373
322191.531217,237888
322191.539241,238414
322191.547379,238948
322191.559310,239729
322191.567240,240249
322191.575415,240785
322191.583448,241311
322191.591519,241840
322191.599394,242356
322191.607225,242870
322191.615337,243401
322191.623431,243932
322191.631488,244460
322191.643215,245228
322191.651409,245765
322191.659264,246280
322191.667223,246802
322191.675262,247328
322191.683261,247853
322191.691234,248375
322191.699257,248901
322191.707174,249420
322191.715266,249950
322191.727339,250741
322191.735186,251256
322191.743313,251788
322191.751235,252307
322191.759435,252845
322191.767301,253360
322191.775181,253877
322191.783333,254411
322191.791714,254960
322191.799738,255486
322191.811233,256239
322191.819393,256774
322191.828119,257346
322191.835291,257816
322191.843316,258342
322191.851258,258862
322191.859749,259419
322191.867402,259920
322191.875368,260442
322191.883268,260960
322191.895386,261754
322191.903105,262260
322191.911108,262785
322191.919212,263316
322191.927407,263853
322191.935154,264360
322191.943096,264881
322191.951438,265428
322191.960389,266014
322191.967207,266461
322191.979307,267254
322191.987355,267781
322191.995337,268305
322192.003197,268820
322192.011414,269358
322192.019234,269871
322192.027504,270413
322192.035237,270919
322192.043262,271445
322192.051215,271966
322192.063628,272780
322192.071393,273289
322192.079251,273804
322192.087190,274324
322192.095195,274849
322192.103151,275370
322192.111077,275890
322192.119279,276427
322192.127486,276965
322192.135171,277469
322192.147153,278254
322192.155304,278788
322192.163486,279324
322192.171220,279831
322192.179258,280358
322192.187256,280882
322192.195732,281437
322192.203269,281931
322192.211292,282457
322192.219467,282993
322192.231270,283766
322192.239270,284291
322192.247132,284806
322192.255176,285333
322192.263441,285875
322192.271348,286393
322192.279298,286914
322192.287261,287436
322192.295601,287982
322192.303114,288475
322192.315305,289274
322192.323294,289797
322192.331445,290331
322192.339365,290850
322192.347232,291366
322192.355339,291897
322192.363414,292426
322192.371304,292944
322192.379377,293473
322192.387323,293993
322192.399752,294808
322192.407290,295302
322192.415290,295826
322192.423278,296350
322192.431391,296881
322192.439185,297392
322192.447210,297918
322192.455199,298442
322192.463219,298967
322192.471268,299495
322192.483227,300278
322192.491161,300798
322192.499210,301326
322192.507016,301837
322192.515230,302376
322192.523325,302906
322192.531365,303433
322192.539158,303944
322192.547341,304480
322192.555325,305003
322192.567237,305784
322192.575320,306314
322192.583196,306830
322192.591158,307352
322192.599973,307929
322192.607210,308404
322192.615153,308924
322192.623250,309455
322192.631443,309992
322192.639436,310516
322192.651243,311289
322192.659238,311813
322192.667329,312344
322192.675201,312859
322192.683251,313387
322192.691203,313908
322192.699273,314437
322192.707275,314961
322192.715229,315483
322192.723252,316008
322192.735226,316793
322192.743255,317319
322192.751256,317844
322192.759451,318381
322192.768075,318946
322192.775158,319410
322192.783258,319941
322192.791380,320473
322192.799993,321038
322192.807293,321516
322192.819402,322310
322192.830245,323020
322192.835591,323371
322192.843227,323871
322192.851224,324395
322192.859458,324935
322192.867421,325457
322192.875160,325964
322192.883271,326495
322192.891059,327006
322192.903228,327803
322192.911102,328319
322192.919197,328850
322192.927280,329379
322192.935170,329896
322192.943177,330421
322192.951292,330953
322192.959187,331470
322192.967320,332003
322192.975398,332533
322192.987407,333320
322192.995394,333843
322193.003499,334374
322193.011201,334879
322193.019404,335417
322193.027458,335945
322193.035510,336472
322193.043312,336984
322193.051267,337505
322193.059382,338037
322193.071396,338824
322193.079186,339335
322193.087206,339860
322193.095316,340392
322193.103338,340917
322193.111129,341428
322193.119204,341957
322193.127309,342488
322193.135265,343010
322193.143249,343533
322193.155290,344322
322193.163485,344859
322193.171381,345377
322193.179188,345888
322193.187413,346427
322193.195996,346990
322193.203218,347463
322193.211490,348005
322193.219127,348506
322193.227159,349032
322193.239491,349840
322193.247260,350349
322193.255219,350871
322193.263286,351400
322193.271382,351930
322193.279306,352449
322193.287196,352966
322193.295137,353487
322193.303738,354051
322193.311197,354539
322193.323501,355346
322193.331392,355863
322193.339401,356388
322193.347327,356907
322193.355475,357441
322193.363381,357959
322193.371454,358488
322193.379313,359003
322193.387434,359536
322193.395356,360055
322193.407501,360851
322193.415226,361357
322193.423249,361883
322193.431427,362419
322193.439288,362934
322193.447219,363454
322193.455335,363985
322193.463609,364528
322193.471326,365033
322193.479251,365553
322193.491120,366331
322193.499443,366876
322193.507308,367392
322193.515420,367923
322193.523291,368439
322193.531354,368967
322193.539380,369493
322193.547372,370017
322193.555463,370547
322193.563225,371056
322193.575306,371848
322193.583366,372376
322193.591352,372899
322193.599670,373444
322193.607501,373958
322193.615262,374466
322193.623363,374997
322193.631368,375522
322193.639541,376057
322193.647245,376562
322193.659364,377357
322193.667445,377886
322193.675336,378403
322193.683243,378921
322193.691140,379439
322193.699478,379985
322193.707260,380495
322193.715545,381038
322193.723458,381557
322193.731161,382062
322193.743262,382855
322193.751120,383370
322193.759237,383902
322193.767382,384435
322193.775374,384959
322193.783277,385477
322193.791471,386014
322193.799514,386541
322193.807359,387055
322193.815245,387572
322193.827452,388372
322193.835350,388890
322193.843358,389415
322193.851371,389940
322193.859346,390462
322193.867317,390985
322193.875433,391517
322193.883211,392026
322193.891190,392549
322193.901728,393240
322193.911390,393873
322193.919069,394376
322193.927198,394909
322193.935241,395436
322193.943198,395958
322193.951316,396490
322193.959331,397015
322193.967551,397554
322193.975195,398055
322193.983498,398599
322193.995191,399365
322194.003586,399915
322194.011498,400434
322194.019207,400939
322194.027356,401473
322194.035520,402008
322194.043271,402516
322194.051202,403036
322194.059427,403575
322194.067414,404098
322194.079262,404875
322194.087067,405386
322194.095282,405924
322194.103362,406454
322194.111195,406967
322194.119233,407494
322194.127301,408023
322194.135364,408551
322194.143280,409070
322194.151219,409590
322194.163236,410378
322194.171473,410918
322194.179220,411425
322194.187266,411953
322194.195200,412473
322194.203490,413016
322194.211510,413541
322194.219203,414046
322194.227245,414573
322194.235554,415117
322194.247217,415881
322194.255178,416403
322194.263371,416940
322194.271667,417484
322194.279390,417990
322194.287072,418493
322194.295201,419026
322194.303395,419563
322194.311145,420071
322194.319198,420599
322194.331398,421398
322194.339715,421943
322194.347247,422437
322194.355322,422966
322194.363151,423479
322194.371650,424036
322194.379353,424541
322194.387220,425057
322194.395419,425594
322194.403371,426115
322194.415483,426909
322194.423281,427420
322194.431304,427946
322194.439475,428481
322194.447184,428986
322194.455414,429526
322194.463253,430039
322194.471634,430589
322194.479463,431102
322194.487108,431603
322194.499152,432392
322194.507224,432921
322194.515436,433459
322194.523304,433975
322194.531258,434496
322194.539495,435036
322194.547308,435548
322194.555265,436069
322194.563235,436592
322194.571539,437136
322194.583139,437896
322194.591295,438431
322194.599322,438957
322194.607298,439479
322194.615158,439994
322194.623250,440525
322194.631266,441050
322194.639402,441583
322194.647357,442105
322194.655266,442623
322194.667312,443412
322194.675528,443951
322194.683167,444451
322194.691141,444974
322194.699143,445498
322194.707308,446034
322194.715350,446561
322194.723359,447085
322194.731196,447599
322194.739596,448150
322194.751396,448923
322194.759525,449456
322194.767242,449961
322194.775370,450494
322194.783449,451023
322194.791397,451544
322194.799495,452075
322194.807477,452598
322194.815255,453108
322194.823431,453644
322194.835199,454415
322194.843594,454965
322194.851407,455477
322194.859153,455985
322194.867297,456518
322194.875591,457062
322194.883197,457560
322194.891132,458080
322194.899234,458611
322194.907293,459140
322194.919240,459922
322194.927193,460444
322194.935153,460965
322194.943452,461509
322194.951246,462020
322194.959285,462547
322194.967292,463072
322194.975595,463616
322194.983310,464121
322194.991146,464635
322195.003251,465428
322195.011277,465954
322195.019155,466470
322195.027180,466996
322195.035142,467518
322195.043420,468061
322195.051199,468570
322195.059292,469101
322195.067232,469621
322195.075494,470163
322195.087177,470928
322195.095290,471460
322195.103194,471978
322195.111191,472502
322195.119179,473025
322195.127347,473561
322195.135172,474074
322195.143483,474618
322195.151244,475127
322195.159277,475653
322195.171482,476453
322195.179735,476994
322195.187281,477489
322195.195285,478013
322195.203288,478538
322195.211320,479064
322195.219245,479583
322195.227334,480113
322195.235294,480635
322195.243470,481171
322195.255261,481944
322195.263234,482466
322195.271278,482993
322195.279427,483527
322195.287219,484038
322195.295179,484560
322195.303200,485085
322195.311165,485607
322195.319179,486132
322195.327215,486659
322195.339289,487450
322195.347412,487983
322195.355350,488503
322195.363228,489019
322195.371555,489565
322195.379196,490066
322195.387375,490602
322195.395229,491116
322195.403318,491647
322195.411279,492168
322195.423274,492954
322195.431231,493476
322195.439239,494001
322195.447274,494527
322195.455226,495048
322195.463199,495571
322195.471450,496112
322195.479461,496637
322195.487184,497143
322195.495052,497658
322195.507102,498448
322195.515362,498989
322195.523174,499501
322195.531190,500027
322195.539165,500549
322195.547682,501107
322195.555226,501602
322195.563082,502117
322195.571473,502667
322195.579833,503214
322195.591168,503957
322195.599424,504498
322195.607151,505005
322195.615473,505550
322195.623495,506076
322195.631208,506581
322195.639248,507108
322195.647491,507648
322195.655198,508153
322195.663256,508682
322195.675360,509475
322195.683309,509996
322195.691141,510509
322195.699066,511028
322195.707138,511557
322195.715494,512105
322195.723268,512614
322195.731204,513135
322195.739322,513667
322195.747401,514196
322195.759542,514992
322195.767227,515495
322195.775294,516024
322195.783422,516557
322195.791209,517067
322195.799236,517593
322195.807338,518124
322195.815297,518646
322195.823122,519158
322195.831199,519688
322195.843587,520500
322195.851284,521004
322195.859216,521524
322195.867484,522066
322195.875215,522572
322195.883535,523118
322195.891217,523621
322195.899125,524139
322195.907100,524662
322195.915718,525227
322195.927206,525980
322195.934997,526490
322195.943241,527030
322195.951417,527566
322195.959186,528075
322195.967483,528619
322195.975278,529130
322195.983412,529663
322195.991188,530173
322195.999175,530696
322196.011422,531499
322196.019242,532011
322196.027199,532533
322196.035173,533055
322196.043428,533596
322196.051260,534109
322196.059225,534631
322196.067336,535163
322196.075402,535692
322196.083373,536214
322196.095149,536986
322196.103200,537513
322196.111316,538045
322196.119300,538568
322196.127171,539084
322196.135109,539604
322196.143228,540137
322196.151388,540671
322196.159338,541192
322196.167306,541714
322196.179565,542518
322196.187323,543026
322196.195211,543543
322196.203291,544073
322196.211283,544597
322196.219372,545127
322196.227167,545637
322196.235247,546167
322196.243430,546703
322196.251403,547226
322196.263166,547997
322196.271239,548526
322196.279446,549064
322196.287266,549576
322196.295195,550096
322196.303125,550615
322196.311148,551141
322196.319260,551673
322196.327388,552205
322196.335110,552712
322196.347185,553503
322196.355546,554051
322196.363230,554554
322196.371248,555080
322196.380699,555699
322196.387384,556137
322196.395127,556645
322196.403169,557172
322196.411302,557705
322196.419358,558233
322196.431242,559012
322196.439505,559553
322196.447589,560083
322196.455448,560598
322196.463256,561110
322196.471452,561647
322196.479217,562156
322196.488266,562749
322196.495353,563213
322196.503369,563738
322196.515515,564534
322196.523455,565055
322196.531230,565564
322196.539239,566089
322196.547447,566627
322196.555470,567153
322196.563246,567662
322196.571521,568205
322196.579433,568723
322196.587815,569273
322196.599357,570029
322196.607272,570548
322196.615384,571079
322196.623513,571612
322196.631133,572111
322196.639217,572641
322196.647343,573174
322196.655260,573693
322196.663156,574210
322196.671083,574730
322196.683450,575540
322196.691073,576040
322196.699065,576563
322196.707021,577085
322196.715585,577646
322196.723249,578148
322196.731262,578673
322196.739184,579193
322196.747148,579714
322196.755328,580251
322196.767072,581020
322196.775335,581562
322196.783373,582088
322196.791245,582604
322196.799164,583123
322196.807227,583652
322196.815480,584193
322196.823262,584703
322196.831153,585220
322196.839272,585752
322196.851338,586543
322196.859255,587061
322196.867152,587579
322196.875342,588116
322196.883392,588643
322196.891118,589150
322196.899028,589668
322196.907106,590197
322196.915186,590727
322196.923632,591280
322196.935021,592027
322196.943206,592563
322196.951385,593099
322196.959241,593614
322196.967161,594133
322196.975257,594664
