# timestamps [seconds],pts
322187.900441,0
322187.936509,2363
322187.968352,4450
322188.000150,6534
322188.036204,8897
322188.068111,10988
322188.104259,13357
322188.136261,15454
322188.168307,17554
322188.204569,19931
322188.236185,22002
322188.268156,24098
322188.304354,26470
322188.336353,28567
322188.372558,30940
322188.483828,38232
322188.504303,39574
322188.540087,41919
322188.572235,44026
322188.604167,46118
322188.640097,48473
322188.672123,50572
322188.704232,52676
322188.740042,55023
322188.772234,57132
322188.808288,59495
322188.840038,61576
322188.872185,63683
322188.908200,66043
322188.940122,68135
322188.972284,70243
322189.008055,72587
322189.040073,74685
322189.076232,77055
322189.108132,79146
322189.140073,81239
322189.176103,83600
322189.208107,85697
322189.240151,87797
322189.276107,90154
322189.308123,92252
322189.344474,94634
322189.376175,96712
322189.408175,98809
322189.444343,101179
322189.476218,103268
322189.508158,105361
322189.544283,107729
322189.576116,109815
322189.612130,112175
322189.644167,114275
322189.676062,116365
322189.712121,118728
322189.744284,120836
322189.780105,123183
322189.812104,125280
322189.844227,127386
322189.880174,129741
322189.912091,131833
322189.944285,133943
322189.980101,136290
322190.012119,138388
322190.048188,140752
322190.080198,142850
322190.112121,144942
322190.148106,147300
322190.180125,149399
322190.212117,151495
322190.248382,153872
322190.280243,155960
322190.316316,158324
322190.348211,160414
322190.380156,162508
322190.416291,164876
322190.448280,166972
322190.480266,169068
322190.516294,171429
322190.548271,173525
322190.584370,175891
322190.616526,177998
322190.648379,180086
322190.684262,182437
322190.716240,184533
322190.752205,186890
322190.784305,188994
322190.816322,191092
322190.852187,193442
322190.884306,195547
322190.916468,197655
322190.952276,200002
322190.984233,202096
322191.020407,204466
322191.052156,206547
322191.084120,208642
322191.120519,211027
322191.152240,213106
322191.184282,215206
322191.220230,217562
322191.252063,219648
322191.288270,222021
322191.320338,224122
322191.352251,226214
322191.388299,228576
322191.420237,230669
322191.452183,232763
322191.488274,235128
322191.520359,237231
322191.556179,239578
322191.588226,241678
322191.620306,243781
322191.656212,246134
322191.688264,248234
322191.724096,250583
322191.756233,252689
322191.788238,254786
322191.824178,257142
322191.856146,259237
322191.888212,261338
322191.924204,263697
322191.956260,265798
322191.992322,268161
322192.024184,270249
322192.056119,272342
322192.092196,274706
322192.124149,276800
322192.156156,278898
322192.192168,281258
322192.224134,283353
322192.260490,285735
322192.292127,287809
322192.324122,289905
322192.360378,292281
322192.392051,294357
322192.424114,296458
322192.460382,298835
322192.492095,300914
322192.528093,303273
322192.560200,305377
322192.592261,307478
322192.628103,309827
322192.660497,311950
322192.696207,314290
322192.728149,316383
322192.760357,318494
322192.796236,320845
322192.828217,322941
322192.860462,325054
322192.896230,327399
322192.928201,329494
322192.964143,331849
322192.996206,333950
322193.028231,336049
322193.064259,338410
322193.096153,340500
322193.128212,342601
322193.164088,344953
322193.196140,347053
322193.232232,349418
322193.264273,351518
322193.296312,353618
322193.332287,355976
322193.364276,358072
322193.396223,360166
322193.432280,362529
322193.464383,364632
322193.500464,366997
322193.532405,369090
322193.564181,371173
322193.600299,373540
322193.632287,375636
322193.668193,377989
322193.700343,380096
322193.732362,382194
322193.768474,384561
322193.800087,386633
322193.832215,388738
322193.868081,391089
322193.900621,393221
322193.936172,395551
322193.968414,397664
322194.000117,399742
322194.036160,402104
322194.068097,404197
322194.100521,406322
322194.136291,408666
322194.168313,410764
322194.204266,413121
322194.236111,415208
322194.268193,417310
322194.304264,419674
322194.336377,421779
322194.368321,423872
322194.404490,426242
322194.436124,428315
322194.472261,430684
322194.504216,432778
322194.536307,434881
322194.572219,437234
322194.604449,439347
322194.640138,441686
322194.672063,443778
322194.704272,445889
322194.740207,448244
322194.772551,450363
322194.804434,452453
322194.840133,454792
322194.872189,456893
322194.908151,459250
322194.940178,461349
322194.972323,463455
322195.008288,465812
322195.040137,467899
322195.072247,470004
322195.108210,472361
322195.140188,474456
322195.176251,476820
322195.208240,478916
322195.240180,481009
322195.276141,483366
322195.308215,485468
322195.340226,487566
322195.376194,489923
322195.408149,492017
322195.444238,494382
322195.476178,496475
322195.508154,498571
322195.544278,500938
322195.576167,503028
322195.612090,505382
322195.644446,507503
322195.676236,509586
322195.712189,511942
322195.744505,514060
322195.776191,516137
322195.812289,518502
322195.844264,520598
322195.880186,522952
322195.912282,525055
322195.944510,527168
322195.980079,529499
322196.012249,531607
322196.044213,533702
322196.080200,536060
322196.112151,538154
322196.148184,540515
322196.180076,542605
322196.212208,544711
322196.248254,547073
322196.280258,549171
322196.312215,551265
322196.348114,553618
322196.380267,555725
322196.416425,558095
322196.448263,560181
322196.480264,562278
322196.516409,564647
322196.548153,566727
322196.584186,569089
322196.616202,571187
322196.648211,573285
322196.684117,575638
322196.716178,577739
322196.748111,579832
322196.784284,582202
322196.816189,584293
322196.852114,586647
322196.884114,588745
322196.916197,590847
322196.952079,593199
322196.984130,595299
322197.016203,597401
322197.052161,599757
322197.084075,601849
322197.120222,604218
322197.152062,606304
322197.184206,608411
322197.220191,610769
322197.252148,612864
322197.284262,614968
322197.320170,617321
322197.352075,619412
322197.388271,621784
322197.420200,623877
322197.452079,625966
322197.488130,628329
322197.520237,630433
322197.556180,632788
322197.588270,634891
322197.620366,636995
322197.656147,639340
322197.688579,641465
322197.720296,643544
322197.756503,645917
322197.788362,648004
322197.824179,650352
322197.856164,652448
322197.888122,654542
322197.924090,656899
322197.956198,659004
322197.988202,661101
322198.024171,663458
322198.056036,665546
322198.092233,667919
322198.124125,670009
322198.156217,672112
322198.192211,674471
322198.224410,676581
322198.256286,678670
322198.292268,681028
322198.324205,683121
322198.360250,685483
322198.392356,687587
322198.424263,689678
322198.460270,692038
322198.492173,694129
322198.528202,696490
322198.560432,698602
322198.592091,700677
