# timestamps [seconds],pts
222592.953884,655
222592.962186,1200
222592.969902,1705
222592.977923,2231
222592.986149,2770
222592.993922,3279
222593.002009,3809
222593.009946,4329
222593.017776,4843
222593.025931,5377
222593.037865,6159
222593.046045,6695
222593.054154,7227
222593.062086,7746
222593.070093,8271
222593.078041,8792
222593.086025,9315
222593.093894,9831
222593.101950,10359
222593.110080,10892
222593.122117,11681
222593.129977,12196
222593.138041,12724
222593.145958,13243
222593.153901,13764
222593.161845,14284
222593.169845,14808
222593.177891,15336
222593.185855,15858
222593.194083,16397
222593.206070,17182
222593.214032,17704
222593.222095,18233
222593.229885,18743
222593.237849,19265
222593.245968,19797
222593.253863,20315
222593.261973,20846
222593.270020,21373
222593.277988,21896
222593.290165,22694
222593.297833,23196
222593.305975,23730
222593.314105,24263
222593.322171,24791
222593.329967,25302
222593.338198,25841
222593.346145,26362
222593.354076,26882
222593.361942,27398
222593.369852,27916
222593.382020,28713
222593.390058,29240
222593.397881,29753
222593.405875,30277
222593.414012,30810
222593.421908,31327
222593.430019,31859
222593.437826,32371
222593.445812,32894
222593.457930,33688
222593.466052,34220
222593.473962,34739
222593.481913,35260
222593.489885,35782
222593.497907,36308
222593.506065,36843
222593.514009,37363
222593.522064,37891
222593.529846,38401
222593.542388,39223
222593.550010,39723
222593.557884,40239
222593.565998,40770
222593.574000,41295
222593.582127,41827
222593.589989,42343
222593.597985,42867
222593.605924,43387
222593.614064,43920
222593.627039,44771
222593.634026,45229
222593.642056,45755
222593.650095,46282
222593.721411,50955
222593.726714,51303
222593.733827,51769
222593.741981,52303
222593.750008,52829
222593.758061,53357
222593.766064,53882
222593.774035,54404
222593.781990,54925
222593.794450,55742
222593.801997,56237
222593.810789,56813
222593.817796,57272
222593.825910,57804
222593.833873,58326
222593.841926,58853
222593.849943,59379
222593.857908,59901
222593.866139,60440
222593.878013,61218
222593.885888,61734
222593.895497,62364
222593.901837,62780
222593.909945,63311
222593.917905,63833
222593.926039,64366
222593.934098,64894
222593.942054,65415
222593.950174,65947
222593.957840,66450
222593.970176,67258
222593.978048,67774
222593.985977,68294
222593.993871,68811
222594.001838,69333
222594.009860,69859
222594.017996,70392
222594.026455,70946
222594.034015,71442
222594.046162,72238
222594.053807,72739
222594.062808,73329
222594.070010,73801
222594.078518,74358
222594.086069,74853
222594.093881,75365
222594.101932,75893
222594.110022,76423
222594.118060,76950
222594.130055,77736
222594.137880,78249
222594.146015,78782
222594.153880,79297
222594.161988,79829
222594.169819,80342
222594.178112,80885
222594.186042,81405
222594.193894,81920
222594.201980,82449
222594.213985,83236
222594.221968,83759
222594.230064,84290
222594.237856,84801
222594.246853,85390
222594.254030,85861
222594.261978,86381
222594.270193,86920
222594.278330,87453
222594.286073,87960
222594.294062,88484
222594.306067,89271
222594.313911,89785
222594.321853,90305
222594.329945,90836
222594.338200,91377
222594.347173,91965
222594.353876,92404
222594.362123,92944
222594.369818,93449
222594.377910,93979
222594.389815,94759
222594.397935,95291
222594.406004,95820
222594.414126,96352
222594.421914,96863
222594.429919,97387
222594.437981,97916
222594.445950,98438
222594.453884,98958
222594.465984,99751
222594.473859,100267
222594.481984,100800
222594.489838,101314
222594.498127,101857
222594.505943,102370
222594.514849,102953
222594.521882,103414
222594.529899,103940
222594.537905,104464
222594.545993,104994
222594.557953,105778
222594.565907,106299
222594.573861,106821
222594.582133,107363
222594.590013,107879
222594.599072,108473
222594.605911,108921
222594.614468,109482
222594.621778,109961
222594.629985,110499
222594.642058,111290
222594.650622,111851
222594.657909,112329
222594.665960,112856
222594.673908,113377
222594.682249,113924
222594.690086,114437
222594.697917,114951
222594.705888,115473
222594.717878,116259
222594.725878,116783
222594.734385,117341
222594.742094,117846
222594.749992,118363
222594.757799,118875
222594.766405,119439
222594.773916,119931
222594.782288,120480
222594.790002,120985
222594.802061,121776
222594.809998,122296
222594.818809,122873
222594.826063,123349
222594.833915,123863
222594.842014,124394
222594.850096,124924
222594.858111,125449
222594.867439,126060
222594.874063,126494
222594.885959,127274
222594.894563,127838
222594.902140,128334
222594.910097,128856
222594.918049,129377
222594.926055,129902
222594.934008,130423
222594.941943,130943
222594.950966,131534
222594.958712,132042
222594.966289,132538
222594.977975,133304
222594.987333,133918
222594.993875,134346
222595.002662,134922
222595.009960,135400
222595.018669,135971
222595.025882,136444
222595.034162,136986
222595.041849,137490
222595.050708,138071
222595.061958,138808
222595.071082,139406
222595.077904,139853
222595.086800,140436
222595.093945,140904
222595.101828,141421
222595.110164,141967
222595.118571,142518
222595.126077,143010
222595.138094,143798
222595.145923,144311
222595.154951,144902
222595.161999,145364
222595.170681,145933
222595.177930,146408
222595.186075,146942
222595.193933,147457
222595.202094,147992
222595.209850,148500
222595.218909,149094
222595.230167,149832
222595.237980,150344
222595.245873,150861
222595.254041,151396
222595.261874,151910
222595.270954,152505
222595.278149,152976
222595.286057,153494
222595.293930,154010
222595.301996,154539
222595.314047,155329
222595.321874,155842
222595.329996,156374
222595.338040,156901
222595.346145,157432
222595.354664,157991
222595.361969,158469
222595.369845,158985
222595.377978,159518
222595.389887,160299
222595.397897,160824
222595.405802,161342
222595.414028,161881
222595.422008,162404
222595.429904,162921
222595.437989,163451
222595.446038,163979
222595.453888,164493
222595.461778,165010
222595.473909,165805
222595.481868,166327
222595.489862,166851
222595.497817,167372
222595.505853,167899
222595.514051,168436
222595.522108,168964
222595.529820,169469
222595.537965,170003
222595.545805,170517
222595.557863,171307
222595.565937,171836
222595.573938,172361
222595.581981,172888
222595.589843,173403
222595.597908,173932
222595.607348,174550
222595.613811,174974
222595.622017,175512
222595.630132,176043
222595.637947,176556
222595.649933,177341
222595.657834,177859
222595.666054,178398
222595.673913,178913
222595.681872,179434
222595.690519,180001
222595.697934,180487
222595.706690,181061
222595.713972,181538
222595.722107,182071
222595.734126,182859
222595.741886,183367
222595.749867,183890
222595.758198,184436
222595.766091,184953
222595.774060,185476
222595.781954,185993
222595.790035,186523
222595.798066,187049
222595.809826,187820
222595.818075,188360
222595.826005,188880
222595.834027,189406
222595.841983,189927
222595.849960,190450
222595.857899,190970
222595.865804,191488
222595.874045,192028
222595.881958,192547
222595.889891,193067
222595.902074,193865
222595.910001,194385
222595.917925,194904
222595.925843,195423
222595.934017,195958
222595.941968,196480
222595.949934,197002
222595.958078,197535
222595.966021,198056
222595.974434,198607
222595.985970,199363
222595.993947,199886
222596.001864,200405
222596.009880,200930
222596.017903,201456
222596.026075,201992
222596.033885,202503
222596.042105,203042
222596.049951,203556
222596.057965,204081
222596.069984,204869
222596.077890,205387
222596.086057,205922
222596.093953,206440
222596.101811,206955
222596.110332,207513
222596.117892,208009
222596.126126,208548
222596.134118,209072
222596.143039,209657
222596.153852,210365
222596.162080,210905
222596.169862,211415
222596.178109,211955
222596.185864,212463
222596.194060,213000
222596.201879,213513
222596.209917,214040
222596.218011,214570
222596.227218,215173
222596.237899,215873
222596.246102,216411
222596.253924,216924
222596.261911,217447
222596.269988,217976
222596.277952,218498
222596.286068,219030
222596.294150,219560
222596.301971,220072
222596.310027,220600
222596.322051,221388
222596.329854,221900
222596.337973,222432
222596.346109,222965
222596.353952,223479
222596.361872,223998
222596.370062,224535
222596.377892,225048
222596.386000,225579
222596.393984,226102
222596.405945,226886
222596.413897,227407
222596.421846,227928
222596.430010,228463
222596.437886,228980
222596.445799,229498
222596.453845,230025
222596.461866,230551
222596.469811,231072
222596.481803,231858
222596.489784,232381
222596.497801,232906
222596.506003,233444
222596.513764,233952
222596.522077,234497
222596.529928,235012
222596.537872,235532
222596.546023,236066
222596.554081,236594
222596.562001,237113
222596.573788,237886
222596.582131,238433
222596.589977,238947
222596.597984,239472
222596.605944,239993
222596.614133,240530
222596.621840,241035
222596.629961,241567
222596.637886,242087
222596.645859,242609
222596.657892,243398
222596.666101,243936
222596.673976,244452
222596.681873,244969
222596.689817,245490
222596.698033,246028
222596.705986,246549
222596.714588,247113
222596.722001,247599
222596.730041,248126
222596.742896,248968
222596.750067,249438
222596.758064,249962
222596.766009,250483
222596.773987,251006
222596.781960,251528
222596.789969,252053
222596.798092,252586
222596.805861,253095
222596.817869,253882
222596.827033,254482
222596.833831,254928
222596.842081,255468
222596.850045,255990
222596.858055,256515
222596.866032,257038
222596.873886,257553
222596.881929,258080
222596.889964,258606
222596.898051,259136
222596.911277,260003
222596.917805,260431
222596.926070,260973
222596.934162,261503
222596.941839,262006
222596.949948,262538
222596.957961,263063
222596.965835,263579
222596.973919,264108
222596.981948,264635
222596.994823,265478
222597.001820,265937
222597.010573,266511
222597.017796,266984
222597.026072,267526
222597.033844,268036
222597.042107,268577
222597.050035,269097
222597.057998,269619
222597.066074,270148
222597.078134,270938
222597.085905,271447
222597.094054,271982
222597.102054,272506
222597.109951,273023
222597.117838,273540
222597.125982,274074
222597.133917,274594
222597.141894,275117
222597.154084,275916
