# timestamps [seconds],pts
222592.943081,0
222592.962780,1290
222592.978801,2340
222592.994960,3399
222593.010932,4446
222593.026782,5485
222593.042768,6532
222593.062791,7845
222593.078896,8900
222593.094914,9950
222593.111025,11006
222593.126890,12045
222593.146770,13348
222593.162813,14400
222593.178822,15449
222593.194950,16506
222593.211010,17558
222593.231076,18873
222593.246770,19902
222593.262772,20950
222593.278921,22009
222593.295105,23069
222593.314756,24357
222593.330796,25408
222593.346830,26459
222593.362842,27509
222593.378852,28558
222593.394986,29615
222593.415052,30930
222593.430925,31970
222593.446798,33011
222593.462805,34060
222593.478918,35116
222593.498803,36419
222593.514791,37467
222593.530775,38514
222593.546774,39563
222593.562775,40611
222593.582800,41923
222593.598795,42972
222593.615062,44038
222593.630955,45079
222593.646817,46119
222593.662784,47165
222593.683054,48494
222593.698767,49523
222593.714776,50573
222593.730774,51621
222593.746770,52669
222593.766723,53977
222593.782756,55028
222593.798760,56076
222593.815071,57145
222593.830907,58183
222593.850759,59484
222593.866775,60534
222593.882929,61592
222593.898856,62636
222593.976549,67728
222593.984649,68259
222593.998806,69186
222594.014875,70240
222594.034918,71553
222594.050835,72596
222594.066951,73652
222594.083049,74707
222594.098785,75739
222594.118791,77050
222594.134780,78097
222594.150790,79147
222594.166782,80195
222594.182787,81244
222594.202818,82556
222594.218982,83616
222594.234931,84661
222594.250786,85700
222594.266855,86753
222594.282889,87804
222594.302719,89103
222594.318803,90157
222594.334782,91205
222594.350807,92255
222594.366770,93301
222594.386920,94621
222594.402817,95663
222594.418778,96709
222594.434857,97763
222594.450822,98809
222594.470818,100120
222594.486941,101176
222594.502823,102217
222594.518767,103262
222594.534787,104312
222594.550774,105360
222594.570968,106683
222594.587045,107737
222594.602892,108775
222594.618817,109819
222594.634913,110874
222594.655016,112191
222594.670878,113231
222594.686970,114285
222594.702710,115317
222594.718808,116372
222594.738765,117680
222594.754750,118727
222594.770905,119786
222594.786939,120837
222594.802773,121874
222594.818897,122931
222594.838792,124235
222594.854977,125296
222594.871107,126353
222594.886873,127386
222594.902778,128428
222594.922908,129747
222594.938793,130788
222594.954770,131836
222594.970865,132890
222594.986911,133942
222595.006782,135244
222595.022875,136299
222595.038763,137340
222595.054874,138396
222595.070949,139449
222595.090827,140752
222595.106819,141800
222595.122945,142857
222595.138784,143895
222595.154820,144946
222595.170957,146003
222595.190828,147306
222595.206799,148352
222595.222856,149405
222595.238754,150446
222595.255024,151513
222595.274824,152810
222595.290863,153861
222595.306905,154913
222595.322933,155963
222595.338728,156998
222595.358870,158318
222595.374904,159369
222595.390796,160411
222595.406732,161455
222595.422914,162515
222595.438778,163555
222595.458801,164867
222595.474792,165915
222595.490802,166964
222595.506875,168018
222595.522927,169070
222595.542966,170383
222595.558792,171420
222595.574899,172476
222595.590941,173527
222595.606792,174566
222595.626723,175872
222595.642817,176927
222595.658746,177971
222595.674770,179021
222595.690816,180072
222595.707048,181136
222595.726895,182437
222595.743068,183497
222595.759105,184548
222595.774915,185584
222595.790958,186635
222595.810790,187935
222595.826782,188983
222595.842819,190034
222595.858785,191080
222595.874829,192132
222595.894838,193443
222595.911029,194504
222595.927023,195552
222595.943026,196601
222595.959149,197658
222595.978695,198938
222595.994887,200000
222596.010893,201049
222596.026771,202089
222596.042794,203139
222596.058791,204188
222596.078784,205498
222596.094956,206558
222596.110994,207609
222596.127085,208663
222596.142935,209702
222596.162808,211004
222596.178806,212053
222596.195180,213126
222596.210926,214158
222596.226774,215196
222596.246707,216503
222596.263785,217622
222596.279041,218622
222596.294983,219666
222596.310946,220713
222596.326921,221759
222596.346754,223059
222596.362801,224111
222596.378767,225157
222596.394960,226218
222596.410975,227268
222596.430785,228566
222596.446768,229614
222596.462757,230661
222596.478947,231722
222596.494927,232770
222596.514706,234066
222596.530781,235119
222596.546781,236168
222596.562796,237218
222596.578781,238265
222596.598683,239569
222596.614895,240632
222596.630978,241686
222596.646784,242722
222596.662809,243772
222596.678897,244826
222596.698815,246132
222596.714797,247179
222596.730794,248227
222596.746867,249281
222596.762858,250329
222596.782712,251630
222596.798754,252681
222596.814864,253737
222596.830876,254786
222596.846772,255828
222596.867473,257185
222596.882959,258199
222596.898783,259236
222596.914741,260282
222596.930802,261335
222596.946800,262383
222596.966782,263693
