# timestamps [seconds],pts
22830.222087,0
22830.257624,2328
22830.289665,4428
22830.325658,6787
22830.357658,8884
22830.389642,10980
22830.425768,13348
22830.457736,15443
22830.489733,17540
22830.525646,19893
22830.557610,21988
22830.593895,24366
22830.625789,26456
22830.657694,28547
22830.693962,30924
22830.725725,33005
22830.757765,35105
22830.793968,37478
22830.825908,39571
22830.861728,41918
22830.893931,44029
22830.925615,46105
22830.961780,48475
22830.993928,50582
22831.025801,52671
22831.061857,55034
22831.093805,57128
22831.130008,59500
22831.161882,61589
22831.194742,63742
22831.229631,66029
22831.261846,68140
22831.293968,70245
22831.329964,72604
22831.361764,74688
22831.397804,77050
22831.429752,79144
22831.462064,81261
22831.497725,83598
22831.529807,85701
22831.565609,88047
22831.597811,90158
22831.629621,92242
22831.665705,94607
22831.697653,96701
22831.730031,98823
22831.765751,101164
22831.797949,103274
22831.833767,105621
22831.866006,107734
22831.897672,109809
22831.933717,112171
22831.965656,114264
22831.998142,116393
22832.033726,118725
22832.066943,120902
22832.101879,123192
22832.133739,125280
22832.165998,127394
22832.201980,129752
22832.233589,131823
22832.265737,133930
22832.301692,136286
22832.333606,138378
22832.370042,140766
22832.401992,142860
22832.433639,144934
22832.469723,147298
22832.501818,149402
22832.533670,151489
22832.569955,153867
22832.601902,155961
22832.637823,158315
22832.669606,160398
22832.702005,162521
22832.738061,164884
22832.769870,166968
22832.802002,169074
22832.837798,171420
22832.869698,173511
22832.905659,175867
22832.937880,177979
22832.969899,180077
22833.005646,182420
22833.037999,184540
22833.073734,186882
22833.105595,188970
22833.137921,191089
22833.173630,193429
22833.205690,195530
22833.238013,197648
22833.273764,199991
22833.305629,202079
22833.341721,204445
22833.373801,206547
22833.405659,208635
22833.441720,210998
22833.473764,213098
22833.505666,215189
22833.541667,217548
22833.573641,219644
22833.609784,222012
22833.642019,224125
22833.673931,226216
22833.709750,228563
22833.741605,230651
22833.773670,232752
22833.810082,235139
22833.841802,237218
22833.877746,239573
22833.910198,241700
22833.941651,243761
22833.977975,246142
22834.009949,248237
22834.041788,250324
22834.077897,252690
22834.109960,254791
22834.145868,257144
22834.177728,259232
22834.209735,261330
22834.245622,263682
22834.277906,265798
22834.310067,267905
22834.345771,270245
22834.377749,272341
22834.413832,274706
22834.445719,276795
22834.478027,278913
22834.513704,281251
22834.545684,283346
22834.577812,285452
22834.613912,287818
22834.645661,289898
22834.681612,292254
22834.713636,294353
22834.746080,296479
22834.781638,298810
22834.813870,300922
22834.849938,303286
22834.881611,305361
22834.913589,307457
22834.949758,309827
22834.981600,311914
22835.013910,314032
22835.049860,316388
22835.081602,318468
22835.117829,320842
22835.149625,322926
22835.181607,325022
22835.217917,327401
22835.249779,329489
22835.281671,331579
22835.317759,333944
22835.349591,336030
22835.385783,338402
22835.417880,340506
22835.450152,342621
22835.486015,344971
22835.517738,347050
22835.549592,349138
22835.585940,351520
22835.617796,353607
22835.654189,355992
22835.686184,358089
22835.717939,360170
22835.753746,362517
22835.785922,364625
22835.817700,366708
22835.853946,369083
22835.885884,371176
22835.921700,373524
22835.953972,375639
22835.985973,377736
22836.021977,380095
22836.053926,382189
22836.085929,384286
22836.121957,386647
22836.153751,388731
22836.189595,391080
22836.221771,393189
22836.254047,395304
22836.289686,397640
22836.322002,399757
22836.357669,402095
22836.389717,404195
22836.421873,406302
22836.457679,408649
22836.489581,410740
22836.521809,412852
22836.557746,415207
22836.589615,417295
22836.625742,419663
22836.657604,421751
22836.689610,423849
22836.725607,426208
22836.757619,428306
22836.789633,430404
22836.826030,432789
22836.857601,434858
22836.893960,437241
22836.925632,439316
22836.957791,441424
22836.993729,443779
22837.025785,445880
22837.057713,447972
22837.094078,450355
22837.125847,452437
22837.162844,454862
22837.193784,456890
22837.225841,458991
22837.261805,461347
22837.293926,463452
22837.325650,465532
22837.361834,467903
22837.393724,469993
22837.429602,472344
22837.461998,474467
22837.493999,476564
22837.529883,478916
22837.562013,481022
22837.593751,483102
22837.629674,485456
22837.661920,487569
22837.697673,489912
22837.729922,492025
22837.761814,494116
22837.797883,496479
22837.829694,498564
22837.861959,500679
22837.897617,503015
22837.929806,505125
22837.965760,507481
22837.997806,509581
22838.029671,511670
22838.065883,514043
22838.097604,516122
22838.133619,518482
22838.165639,520580
22838.197779,522686
22838.233623,525036
22838.265893,527150
