# timestamps [seconds],pts
10088.188052,0
10088.220108,2100
10088.252043,4193
10088.288240,6565
10088.320239,8662
10088.352104,10751
10088.388079,13108
10088.419942,15196
10088.456074,17564
10088.488142,19666
10088.520096,21760
10088.555957,24110
10088.588264,26227
10088.624016,28570
10088.656058,30670
10088.688225,32778
10088.724004,35123
10088.756036,37222
10088.788328,39339
10088.824002,41676
10088.856069,43778
10088.892182,46145
10088.924000,48230
10088.956014,50328
10088.991941,52682
10089.023930,54779
10089.056293,56900
10089.092058,59244
10089.123991,61336
10089.159990,63695
10089.192043,65796
10089.223992,67890
10089.259934,70245
10089.292116,72354
10089.323955,74441
10089.360020,76804
10089.391977,78899
10089.428137,81268
10089.459929,83352
10089.492063,85458
10089.528060,87817
10089.560064,89914
10089.591995,92007
10089.628122,94374
10089.659952,96460
10089.696059,98827
10089.728137,100929
10089.759951,103014
10089.796232,105392
10089.828922,107534
10089.860066,109575
10089.896062,111934
10089.928191,114040
10089.964217,116400
10089.996145,118493
10090.028236,120596
10090.064189,122952
10090.095982,125036
10090.131924,127391
10090.164156,129503
10090.196211,131604
10090.231939,133946
10090.264205,136060
10090.296027,138146
10090.331957,140500
10090.364085,142606
10090.399902,144953
10090.431954,147054
10090.464150,149164
10090.499978,151512
10090.532073,153615
10090.564098,155714
10090.599901,158060
10090.631974,160162
10090.668017,162524
10090.700091,164626
10090.731988,166716
10090.767953,169073
10090.800085,171179
10090.831987,173270
10090.868026,175632
10090.899923,177722
10090.936016,180087
10090.967955,182180
10090.999976,184279
10091.036056,186643
10091.068040,188740
10091.100021,190835
10091.136295,193213
10091.167971,195288
10091.203960,197647
10091.236083,199752
10091.267917,201838
10091.304236,204219
10091.336072,206305
10091.367986,208396
10091.403931,210752
10091.436090,212860
10091.472238,215229
10091.504115,217318
10091.536172,219419
10091.572075,221771
10091.603928,223859
10091.640058,226227
10091.672130,228329
10091.704080,230422
10091.739968,232774
10091.772155,234884
10091.803914,236965
10091.840007,239330
10091.872196,241440
10091.907928,243782
10091.939947,245880
10091.972197,247993
10092.008128,250348
10092.039952,252434
10092.072126,254542
10092.107932,256889
10092.139923,258985
10092.175931,261345
10092.207970,263445
10092.239954,265541
10092.275929,267899
10092.307977,269999
10092.339908,272091
10092.375927,274452
10092.408247,276570
10092.444009,278914
10092.476001,281010
10092.507907,283101
10092.544056,285470
10092.576048,287567
10092.608034,289663
10092.643998,292020
10092.675951,294114
10092.712036,296479
10092.744217,298588
10092.775914,300665
10092.811910,303024
10092.843917,305122
10092.875931,307220
10092.912296,309603
10092.944223,311695
10092.980042,314043
10093.011956,316134
10093.044090,318240
10093.080155,320603
10093.112104,322697
10093.144069,324792
10093.180170,327158
10093.211953,329241
10093.248027,331605
10093.280156,333711
10093.312048,335801
10093.347916,338151
10093.380062,340258
10093.416094,342619
10093.448053,344714
10093.480289,346826
10093.515971,349165
10093.547922,351259
10093.580217,353375
10093.616242,355736
10093.648071,357822
10093.684015,360177
10093.716103,362280
10093.748001,364371
10093.784037,366732
10093.816140,368836
10093.848168,370935
10093.884072,373288
10093.915932,375376
10093.952154,377750
10093.983949,379834
10094.016151,381944
10094.051951,384290
10094.084081,386396
10094.115969,388486
10094.152050,390850
10094.183989,392943
10094.219988,395302
10094.251983,397399
10094.284147,399507
10094.320229,401872
10094.352041,403957
10094.383888,406044
10094.419974,408409
10094.451958,410505
10094.488159,412877
10094.520087,414969
10094.552170,417072
10094.588146,419430
10094.619975,421516
10094.651961,423612
10094.688046,425977
10094.720236,428086
10094.755926,430425
10094.788124,432535
10094.819839,434614
10094.856036,436986
10094.888170,439092
10094.923916,441434
10094.955902,443531
10094.988035,445636
10095.023901,447987
10095.056031,450093
10095.088077,452193
10095.123993,454546
10095.155998,456644
10095.191848,458993
10095.223994,461100
10095.256063,463202
